ID,title,author,TrueURL
227,星の銀貨,グリム ヤーコプ・ルートヴィッヒ・カール,https://www.aozora.gr.jp/cards/001091/files/42316_15930.html
228,永日小品,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/758_14936.html
229,不良少年とキリスト,坂口 安吾,https://www.aozora.gr.jp/cards/001095/files/42840_24908.html
230,門,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/785_14971.html
231,愛撫,梶井 基次郎,https://www.aozora.gr.jp/cards/000074/files/411_19633.html
232,『注文の多い料理店』序,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/43736_17656.html
233,神神の微笑,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/68_15177.html
234,赤い蝋燭,新美 南吉,https://www.aozora.gr.jp/cards/000121/files/627_13466.html
235,最終戦争論,石原 莞爾,https://www.aozora.gr.jp/cards/000230/files/1154_23278.html
236,I can speak,太宰 治,https://www.aozora.gr.jp/cards/000035/files/1572_19910.html
237,山の人生,柳田 国男,https://www.aozora.gr.jp/cards/001566/files/52505_50610.html
238,ルバイヤート,ハイヤーム オマル,https://www.aozora.gr.jp/cards/000288/files/1760_23850.html
239,日本の伝説,柳田 国男,https://www.aozora.gr.jp/cards/001566/files/53810_50599.html
240,原爆詩集,峠 三吉,https://www.aozora.gr.jp/cards/001053/files/4963_16055.html
241,アグニの神,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/15_14583.html
242,小説　不如帰　,徳冨 蘆花,https://www.aozora.gr.jp/cards/000280/files/1706_44742.html
243,屋根裏の散歩者,江戸川 乱歩,https://www.aozora.gr.jp/cards/001779/files/56649_59494.html
244,アイヌ神謡集,作者不詳 ,https://www.aozora.gr.jp/cards/001529/files/44909_29558.html
245,ピアノ,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/1130_15234.html
246,雲,山村 暮鳥,https://www.aozora.gr.jp/cards/000136/files/42755_34855.html
247,赤毛連盟,ドイル アーサー・コナン,https://www.aozora.gr.jp/cards/000009/files/8_31220.html
248,鏡地獄,江戸川 乱歩,https://www.aozora.gr.jp/cards/001779/files/57343_60022.html
249,心理試験,江戸川 乱歩,https://www.aozora.gr.jp/cards/001779/files/56646_58241.html
250,若草物語,オルコット ルイーザ・メイ,https://www.aozora.gr.jp/cards/001090/files/42307_24580.html
